id;quantity;unit_price;total_price
ac66cba2-5830-4279-a5d2-f12604d40b40;1;1.50;1.50
596291fd-6554-44d7-9d10-5a035b94abb9;1;2.00;2.00
b7f5b779-e314-47d2-bcb7-e30a1ddd6c0c;2;0.75;1.50
6b6ca2db-9a0c-4e04-ad6b-fb0d21b58342;1;1.25;1.25
3ac4111a-2d46-4d6f-819b-d48ae8167eab;1;0.50;0.50
efb4fd83-2778-4852-889c-de30c34a2c11;1;3.00;3.00
f7abf353-aafd-4174-b35b-5e151434c5ed;1;1.00;1.00
a6087f7a-2fcf-404a-87e3-7bef550f8ea8;2;0.75;1.50
2e54f6ba-113b-40c3-9fa7-190fab03ab7e;1;0.25;0.25
b57c2c12-a92e-4d9f-95c8-7b258062b1ca;1;1.50;1.50
