id;shift_name;start_time;end_time;shift_date;is_active
1eb2c0db-0146-4d73-985f-6ae60aae7930;Breakfast;07:00:00;11:00:00;2025-12-27;true
3b4b5248-fb1e-4ce7-a2f1-95099307a03b;Lunch;11:00:00;15:00:00;2025-12-27;true
d55cd540-329b-4204-8dbc-7ce7b461ec33;Happy Hour;15:00:00;17:00:00;2025-12-27;true
18af5d71-494c-4db2-a660-1f70b6b3014f;Dinner;17:00:00;22:00:00;2025-12-27;true
5335fd5e-ea88-4454-8724-2ae0b3235d3d;Late Night;22:00:00;01:00:00;2025-12-28;true
7de1d331-d7c9-4f11-839f-607caefff878;Breakfast;07:00:00;11:00:00;2025-12-28;true
2fac2f79-e3f5-4643-b414-de4d2b1f2060;Lunch;11:00:00;15:00:00;2025-12-28;true
a50637cc-544d-41dd-bc24-ddf2307b0c44;Dinner;17:00:00;22:00:00;2025-12-28;true
1d4f44c4-4d5d-4e59-97c9-2b14bb7bdb2c;Breakfast;07:00:00;11:00:00;2025-12-29;true
fb6a963a-68f5-4295-a324-51577c04a2b5;Dinner;17:00:00;22:00:00;2025-12-29;true
