id;assignment_date;start_time;end_time;is_active
a9a6291f-a5fe-4bb0-80e5-7a1f718b01e9;2025-12-27;2025-12-27T11:00:00;2025-12-27T14:00:00;true
18b39e30-2bcd-41c2-a353-5ceb164ffbb4;2025-12-27;2025-12-27T14:00:00;2025-12-27T17:00:00;true
529d6100-5b08-4415-855f-9ad2f46673b2;2025-12-27;2025-12-27T17:00:00;2025-12-27T20:00:00;true
fa67eb8f-db7f-4290-8ff9-2f1da0cdd0b5;2025-12-27;2025-12-27T20:00:00;2025-12-27T23:00:00;true
2c004751-2295-41a2-9de9-f49f8f84f74a;2025-12-28;2025-12-28T11:00:00;2025-12-28T14:00:00;true
653089dc-6085-46d3-8d30-283c2922601f;2025-12-28;2025-12-28T14:00:00;2025-12-28T17:00:00;true
3353aeb4-f6db-4087-bdea-1d4d0e6b56fe;2025-12-28;2025-12-28T17:00:00;2025-12-28T20:00:00;true
fc72fcac-42d1-4411-ba23-55f3e03b7924;2025-12-28;2025-12-28T20:00:00;2025-12-28T23:00:00;true
bc563792-7852-413c-b78c-f748a4a9e366;2025-12-29;2025-12-29T11:00:00;2025-12-29T15:00:00;true
a0f48db7-2f53-43bf-a6cb-0bfe9baefcf2;2025-12-29;2025-12-29T15:00:00;2025-12-29T19:00:00;true
