id;assignment_date;start_time;end_time;is_active
e8c5bfb8-7412-4038-a20d-d7b03ccce570;2025-12-27;2025-12-27T10:30:00;2025-12-27T15:00:00;true
0a9d2455-ca39-43a2-8964-b367ad383a4a;2025-12-27;2025-12-27T15:00:00;2025-12-27T19:00:00;true
3687d07b-5bd0-4a9c-b47f-72b6783014c2;2025-12-27;2025-12-27T19:00:00;2025-12-27T23:00:00;true
4018ab25-3d3a-46d2-95a6-0271c5ae7900;2025-12-28;2025-12-28T10:30:00;2025-12-28T15:00:00;true
a34dd9b3-4beb-433a-be4c-094324753c49;2025-12-28;2025-12-28T15:00:00;2025-12-28T19:00:00;true
d55e8e62-6c30-43c5-9730-6b8a2d231bc4;2025-12-28;2025-12-28T19:00:00;2025-12-28T23:00:00;true
8b44001c-cf84-480a-9283-a7b75bd2e365;2025-12-29;2025-12-29T10:30:00;2025-12-29T15:00:00;true
44155cf8-2ebe-487b-aea1-c3796a6d1388;2025-12-29;2025-12-29T15:00:00;2025-12-29T19:00:00;true
33a3d1a3-3554-4b6f-97c6-49c852f51feb;2025-12-29;2025-12-29T19:00:00;2025-12-29T23:00:00;true
3ba932f1-9518-4ff5-99b3-e4f79f405373;2025-12-30;2025-12-30T17:00:00;2025-12-30T22:00:00;true
